Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
3481700,PSON.L,488.235,724.50,719.00,2006-07-12,721.00,720.50
3788100,PSON.L,486.542,725.00,716.50,2006-07-11,718.50,720.50
3377200,PSON.L,488.235,727.00,720.00,2006-07-10,721.00,723.50
3486400,PSON.L,491.621,730.50,720.00,2006-07-07,726.00,724.00
2977500,PSON.L,492.298,729.50,721.00,2006-07-06,727.00,727.50
2891700,PSON.L,492.637,732.00,722.995,2006-07-05,727.50,727.00
2246500,PSON.L,493.314,731.365,715.00,2006-07-04,728.50,728.00
2922800,PSON.L,493.652,748.50,727.00,2006-07-03,729.00,737.00
3971800,PSON.L,498.731,740.50,727.00,2006-06-30,736.50,725.00
4126600,PSON.L,490.944,727.182,709.00,2006-06-29,725.00,709.00
3876600,PSON.L,478.416,710.00,694.50,2006-06-28,706.50,695.00
3869100,PSON.L,470.967,720.00,693.50,2006-06-27,695.50,717.00
3197300,PSON.L,480.786,713.00,701.00,2006-06-26,710.00,703.50
3944500,PSON.L,475.03,712.00,699.00,2006-06-23,701.50,707.50
2357800,PSON.L,477.40,727.00,701.00,2006-06-22,705.00,712.00
2607400,PSON.L,475.369,707.00,695.00,2006-06-21,702.00,706.50
2194800,PSON.L,476.046,705.00,698.00,2006-06-20,703.00,703.50
2600400,PSON.L,478.416,710.50,700.50,2006-06-19,706.50,709.00
6523100,PSON.L,474.015,709.00,698.50,2006-06-16,700.00,707.00
5015700,PSON.L,471.306,700.50,687.50,2006-06-15,696.00,688.50
2881000,PSON.L,465.889,705.50,684.615,2006-06-14,688.00,697.00
5500800,PSON.L,469.613,707.50,685.50,2006-06-13,693.50,697.50
2654600,PSON.L,480.786,720.50,707.50,2006-06-12,710.00,716.50
3418500,PSON.L,485.526,723.00,710.00,2006-06-09,717.00,720.00
3619400,PSON.L,483.495,730.00,710.50,2006-06-08,714.00,715.00
6490000,PSON.L,494.33,730.50,713.00,2006-06-07,730.00,713.00
4859300,PSON.L,482.479,726.00,709.50,2006-06-06,712.50,723.00
2586800,PSON.L,492.975,739.00,722.00,2006-06-05,728.00,737.00
6042100,PSON.L,498.731,739.50,726.00,2006-06-02,736.50,737.50
3560500,PSON.L,494.33,732.00,709.50,2006-06-01,730.00,715.50
4204400,PSON.L,488.574,729.50,711.50,2006-05-31,721.50,720.50
3260600,PSON.L,488.912,731.00,718.50,2006-05-30,722.00,730.50
000,PSON.L,497.715,735.00,735.00,2006-05-29,735.00,735.00
4236900,PSON.L,497.715,735.00,720.00,2006-05-26,735.00,720.00
2855900,PSON.L,486.881,719.00,703.50,2006-05-25,719.00,708.00
5597800,PSON.L,480.786,720.40,707.50,2006-05-24,710.00,712.00
4725400,PSON.L,485.526,719.50,698.00,2006-05-23,717.00,698.00
6743700,PSON.L,470.629,708.50,689.50,2006-05-22,695.00,708.00
4482300,PSON.L,481.125,722.50,705.00,2006-05-19,710.50,714.00
3453200,PSON.L,486.881,725.50,705.92,2006-05-18,719.00,718.00
5687800,PSON.L,485.865,743.50,716.00,2006-05-17,717.50,743.50
4634300,PSON.L,499.747,738.00,732.65,2006-05-16,738.00,737.50
7488400,PSON.L,501.101,746.50,718.00,2006-05-15,740.00,746.50
4950000,PSON.L,507.196,765.50,748.00,2006-05-12,749.00,760.00
3281700,PSON.L,518.03,777.19,764.00,2006-05-11,765.00,768.00
6365900,PSON.L,517.353,774.50,762.00,2006-05-10,764.00,774.00
4467000,PSON.L,523.109,776.66,765.50,2006-05-09,772.50,765.50
3028800,PSON.L,519.723,784.50,764.50,2006-05-08,767.50,779.00
5892900,PSON.L,527.511,780.50,759.305,2006-05-05,779.00,761.50
4616600,PSON.L,514.306,766.00,755.00,2006-05-04,759.50,755.00
5720600,PSON.L,512.613,764.00,748.13,2006-05-03,757.00,761.50
5804000,PSON.L,516.676,766.50,756.50,2006-05-02,763.00,756.50
000,PSON.L,514.644,760.00,760.00,2006-05-01,760.00,760.00
6242600,PSON.L,514.644,763.00,755.50,2006-04-28,760.00,765.50
4379000,PSON.L,518.369,768.033,752.00,2006-04-27,765.50,755.50
11506600,PSON.L,513.29,762.00,751.00,2006-04-26,758.00,761.00
5205200,PSON.L,513.629,766.50,754.50,2006-04-25,758.50,760.50
2803000,PSON.L,511.597,769.32,750.50,2006-04-24,755.50,757.50
7078200,PSON.L,515.322,779.00,757.00,2006-04-21,761.00,763.00
11100300,PSON.L,512.952,763.00,754.00,2006-04-20,757.50,759.00
7796100,PSON.L,515.999,766.00,751.50,2006-04-19,762.00,766.00
8042000,PSON.L,514.644,771.50,758.50,2006-04-18,760.00,770.00
000,PSON.L,526.495,777.50,777.50,2006-04-17,777.50,777.50
000,PSON.L,526.495,777.50,777.50,2006-04-14,777.50,777.50
4189300,PSON.L,526.495,778.00,768.00,2006-04-13,777.50,771.00
7001100,PSON.L,523.109,778.50,766.50,2006-04-12,772.50,774.00
4724100,PSON.L,522.432,780.925,767.50,2006-04-11,771.50,778.50
7471600,PSON.L,528.865,784.00,759.50,2006-04-10,781.00,763.00
2722700,PSON.L,516.676,774.50,762.00,2006-04-07,763.00,774.50
16786900,PSON.L,522.432,790.00,770.50,2006-04-06,771.50,786.00
4352300,PSON.L,532.928,789.615,774.50,2006-04-05,787.00,785.50
3360100,PSON.L,528.188,798.00,790.00,2006-04-04,797.00,792.00
3521400,PSON.L,527.525,805.00,792.00,2006-04-03,796.00,798.00
4435400,PSON.L,528.85,802.00,790.50,2006-03-31,798.00,790.50
4471000,PSON.L,527.194,798.00,788.00,2006-03-30,795.50,795.50
7058000,PSON.L,523.217,800.74,785.927,2006-03-29,789.50,796.00
7564900,PSON.L,527.525,807.00,784.00,2006-03-28,796.00,804.00
000,PSON.L,531.833,814.00,802.00,2006-03-27,802.50,814.00
5211400,PSON.L,537.134,818.54,807.13,2006-03-24,810.50,814.00
8442600,PSON.L,536.803,819.00,797.50,2006-03-23,810.00,802.50
3049800,PSON.L,528.519,800.00,768.00,2006-03-22,797.50,780.00
6026200,PSON.L,520.235,789.50,781.00,2006-03-21,785.00,785.00
7831000,PSON.L,520.898,794.235,778.221,2006-03-20,786.00,787.00
11576700,PSON.L,521.229,796.50,771.50,2006-03-17,786.50,776.00
4734200,PSON.L,515.927,786.00,771.00,2006-03-16,778.50,786.00
10655600,PSON.L,518.91,785.50,778.50,2006-03-15,783.00,785.00
6700100,PSON.L,514.933,778.00,769.50,2006-03-14,777.00,777.50
9130000,PSON.L,516.59,779.50,763.50,2006-03-13,779.50,775.00
9772700,PSON.L,509.632,770.00,749.50,2006-03-10,769.00,749.50
4837300,PSON.L,499.028,756.50,748.00,2006-03-09,753.00,755.50
11373600,PSON.L,495.714,763.00,741.00,2006-03-08,748.00,755.00
8366300,PSON.L,498.034,753.50,727.00,2006-03-07,751.50,730.00
4749800,PSON.L,487.43,736.16,712.767,2006-03-06,735.50,726.50
5521500,PSON.L,481.466,735.00,723.50,2006-03-03,726.50,728.00
5034800,PSON.L,480.14,727.00,712.768,2006-03-02,724.50,720.00
4105500,PSON.L,476.827,722.00,705.00,2006-03-01,719.50,712.00
4832800,PSON.L,469.868,727.00,707.00,2006-02-28,709.00,716.00
8547600,PSON.L,476.496,727.00,710.00,2006-02-27,719.00,722.00
7464300,PSON.L,467.549,717.25,699.00,2006-02-24,705.50,708.00
5473500,PSON.L,467.549,713.50,699.00,2006-02-23,705.50,713.50
4027700,PSON.L,471.194,720.00,710.00,2006-02-22,711.00,720.00
4836300,PSON.L,475.17,720.00,712.00,2006-02-21,717.00,720.00
1851800,PSON.L,475.17,729.00,707.27,2006-02-20,717.00,729.00
3938600,PSON.L,476.164,722.00,714.00,2006-02-17,718.50,722.00
4916500,PSON.L,477.158,724.50,716.00,2006-02-16,720.00,716.00
2102800,PSON.L,481.135,730.00,719.50,2006-02-15,726.00,730.00
2494700,PSON.L,483.454,733.00,724.00,2006-02-14,729.50,730.00
3059100,PSON.L,483.454,731.00,720.00,2006-02-13,729.50,729.00
4743500,PSON.L,480.472,731.50,724.50,2006-02-10,725.00,728.50
3538800,PSON.L,484.117,1397.90,716.845,2006-02-09,730.50,720.00
2301000,PSON.L,475.501,722.00,714.00,2006-02-08,717.50,722.00
2350900,PSON.L,480.14,728.00,717.00,2006-02-07,724.50,726.50
3528200,PSON.L,479.809,729.50,722.50,2006-02-06,724.00,728.50
3011000,PSON.L,483.785,731.00,721.50,2006-02-03,730.00,727.50
4225300,PSON.L,479.146,740.00,722.00,2006-02-02,723.00,735.00
4444200,PSON.L,488.424,740.00,724.00,2006-02-01,737.00,726.50
4389300,PSON.L,482.46,730.00,719.46,2006-01-31,728.00,721.00
4243500,PSON.L,479.478,731.14,721.50,2006-01-30,723.50,729.00
11728200,PSON.L,486.436,738.00,728.00,2006-01-27,734.00,728.00
9316400,PSON.L,481.135,729.50,719.25,2006-01-26,726.00,722.00
8532700,PSON.L,478.484,723.00,712.66,2006-01-25,722.00,723.00
7347500,PSON.L,476.496,728.50,711.00,2006-01-24,719.00,713.00
4788300,PSON.L,470.531,718.079,702.50,2006-01-23,710.00,713.50
21538100,PSON.L,475.501,720.00,693.50,2006-01-20,717.50,694.00
3294800,PSON.L,454.957,695.50,686.23,2006-01-19,686.50,690.50
4852300,PSON.L,453.963,688.50,674.50,2006-01-18,685.00,675.00
21727700,PSON.L,455.288,691.50,583.50,2006-01-17,687.00,678.00
7131500,PSON.L,444.354,688.96,667.50,2006-01-16,670.50,668.50
6256000,PSON.L,445.679,686.00,670.50,2006-01-13,672.50,686.00
2806200,PSON.L,454.957,691.013,684.00,2006-01-12,686.50,688.00
7609500,PSON.L,455.951,695.00,388.00,2006-01-11,688.00,685.50
8978700,PSON.L,453.963,700.00,680.00,2006-01-10,685.00,698.00
2010000,PSON.L,465.229,702.00,694.00,2006-01-09,702.00,696.50
1406600,PSON.L,462.578,698.15,693.305,2006-01-06,698.00,696.50
4631900,PSON.L,458.933,704.00,691.00,2006-01-05,692.50,697.50
5722600,PSON.L,462.91,701.50,683.00,2006-01-04,698.50,689.50
1953800,PSON.L,455.288,688.00,675.50,2006-01-03,687.00,685.50
000,PSON.L,455.62,687.50,687.50,2006-01-02,687.50,687.50
1269800,PSON.L,455.62,690.50,683.00,2005-12-30,687.50,685.00
2081500,PSON.L,454.294,690.50,684.405,2005-12-29,685.50,687.00
2480400,PSON.L,454.294,689.00,684.00,2005-12-28,685.50,681.00
000,PSON.L,451.312,681.00,681.00,2005-12-27,681.00,681.00
000,PSON.L,451.312,681.00,681.00,2005-12-26,681.00,681.00
3694600,PSON.L,451.312,685.00,680.50,2005-12-23,681.00,685.00
2764400,PSON.L,453.30,691.00,683.00,2005-12-22,684.00,691.00
4741800,PSON.L,456.945,694.00,683.00,2005-12-21,689.50,694.00
3390200,PSON.L,458.271,694.50,688.00,2005-12-20,691.50,690.50
2284600,PSON.L,457.939,693.50,685.10,2005-12-19,691.00,693.50
4513300,PSON.L,458.602,693.00,677.50,2005-12-16,692.00,677.50
3294600,PSON.L,450.649,683.87,676.50,2005-12-15,680.00,679.50
3373500,PSON.L,450.318,686.00,676.50,2005-12-14,679.50,681.50
4014900,PSON.L,451.312,683.00,677.00,2005-12-13,681.00,679.00
3461900,PSON.L,448.993,689.08,675.50,2005-12-12,677.50,683.00
4909400,PSON.L,450.649,686.50,670.50,2005-12-09,680.00,674.00
2837400,PSON.L,446.673,679.00,669.00,2005-12-08,674.00,679.00
2357600,PSON.L,450.318,681.50,674.50,2005-12-07,679.50,677.50
3603800,PSON.L,448.993,683.00,657.50,2005-12-06,677.50,672.00
3477700,PSON.L,446.673,681.96,673.00,2005-12-05,674.00,680.50
4811300,PSON.L,450.981,680.50,672.00,2005-12-02,680.50,674.50
6569800,PSON.L,446.673,675.50,667.50,2005-12-01,674.00,675.00
12675700,PSON.L,445.679,674.50,661.25,2005-11-30,672.50,665.00
6828500,PSON.L,439.715,663.825,646.32,2005-11-29,663.50,648.00
4867700,PSON.L,428.78,657.50,644.033,2005-11-28,647.00,657.00
1549000,PSON.L,432.093,654.50,649.00,2005-11-25,652.00,653.00
2207100,PSON.L,430.768,653.04,645.00,2005-11-24,650.00,648.50
3473300,PSON.L,430.437,656.00,649.50,2005-11-23,649.50,651.50
3389000,PSON.L,431.762,655.00,645.82,2005-11-22,651.50,649.50
1856700,PSON.L,428.117,653.00,643.00,2005-11-21,646.00,650.50
4009500,PSON.L,429.111,655.83,645.82,2005-11-18,647.50,653.50
8859700,PSON.L,429.442,655.83,641.00,2005-11-17,648.00,647.50
4028200,PSON.L,429.442,655.00,645.50,2005-11-16,648.00,653.50
6404600,PSON.L,432.093,663.00,650.00,2005-11-15,652.00,654.50
3127800,PSON.L,433.419,661.50,648.50,2005-11-14,654.00,658.00
6654100,PSON.L,436.07,658.50,651.00,2005-11-11,658.00,657.00
5670600,PSON.L,431.099,658.50,650.50,2005-11-10,650.50,655.00
4076100,PSON.L,432.425,658.00,646.50,2005-11-09,652.50,652.00
4820500,PSON.L,433.75,662.00,652.50,2005-11-08,654.50,657.00
6574100,PSON.L,432.756,658.78,645.50,2005-11-07,653.00,647.50
3928400,PSON.L,426.46,650.00,643.00,2005-11-04,643.50,650.00
5457100,PSON.L,429.774,652.50,644.00,2005-11-03,648.50,650.50
8829600,PSON.L,430.768,652.00,638.50,2005-11-02,650.00,638.50
11975700,PSON.L,421.49,645.778,633.75,2005-11-01,636.00,645.00
6227700,PSON.L,416.188,630.00,617.00,2005-10-31,628.00,628.00
4201800,PSON.L,412.874,624.00,612.50,2005-10-28,623.00,615.50
4399500,PSON.L,407.904,618.50,612.00,2005-10-27,615.50,617.50
7964800,PSON.L,411.549,627.00,611.00,2005-10-26,621.00,611.00
2644800,PSON.L,414.531,636.50,625.50,2005-10-25,625.50,636.50
1967800,PSON.L,419.833,635.50,626.78,2005-10-24,633.50,628.00
5172500,PSON.L,417.513,636.00,624.00,2005-10-21,630.00,629.50
3388000,PSON.L,417.182,634.50,625.50,2005-10-20,629.50,631.50
4975600,PSON.L,412.212,630.00,620.00,2005-10-19,622.00,628.50
5175100,PSON.L,418.839,639.00,627.00,2005-10-18,632.00,637.50
3319100,PSON.L,423.478,647.00,637.50,2005-10-17,639.00,645.00
2804000,PSON.L,427.454,646.00,631.00,2005-10-14,645.00,639.00
5381700,PSON.L,424.141,643.00,630.00,2005-10-13,640.00,635.00
